name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Ritsem;491023;304000;1;Francis;Underjordsanläggning;173;240;40;600;Luleälven;Ritsem;Gällivare;Norrbottens;67.72921;17.48511
Boden;455000;78000;2;Kaplan;Ovanjordsanläggning;13;720;514;;Luleälven;Boden;Bodens;Norrbottens;65.80888;21.67136
Vargfors;452162;122100;2;1 Kaplan, 1 Francis;Underjordsanläggning;49;;;;Skellefteälven;Bjurträsk;Norsjö;Västerbottens;65.02145;19.68668
Järkvissle;451369;96500;2;Kaplan;Ovanjordsanläggning;14;720;437;;Indalsälven;Järkvissle;Sundsvalls;Västernorrlands;62.79714;16.66350
Tuggen;441000;110000;2;Kaplan;Ovanjordsanläggning;27.5;480;227;;Umeälven;Lycksele;Lycksele;Västerbottens;64.47282;18.87829
Långbjörn;430669;96900;2;Kaplan;Ovanjordsanläggning;34;330;181;;Ångermanälven;Näsåker;Sollefteå;Västernorrlands;63.63652;16.77613
Svarthålsforsen;430000;80000;3;Kaplan;Ovanjordsanläggning;15;525;430;0;Indalsälven;Bispgården;Ragunda;Jämtlands;63.02853;16.57131
Korsselbränna;428000;130000;2;Francis;Underjordsanläggning;112;120;54;291;Fjällsjöälven;Norråker;Strömsunds;Jämtlands;64.45855;15.54007
Järnvägsforsen;420000;100000;2;Francis;Underjordsanläggning;86.8;145;68;192;Ljungan;Alby;Ånge;Västernorrlands;62.48846;15.55735
Järpströmmen;415000;114000;3;Francis;Underjordsanläggning;66;220;88;502;Indalsälven;Järpbyn;Åre;Jämtlands;63.39022;13.38425
Umluspen;401000;94000;2;Kaplan;Underjordsanläggning;35;340;180;1100;Umeälven;Storuman;Storumans;Västerbottens;65.09453;17.09968
Långå;400000;156000;2;Francis;Underjordsanläggning;217;110;37;784;Ljusnan;Hede;Härjedalens;Jämtlands;62.46369;13.08091
Sällsjö;350000;160000;2;Francis;Underjordsanläggning;194;110;24;700;Indalsälven;Sällsjön;Åre;Jämtlands;63.22401;13.67617
Torpshammar;350000;110000;2;Francis;Underjordsanläggning;123;110;39;;Gimån;Torpshammar;Ånge;Västernorrlands;62.50868;16.37935
Näverede;348833;75600;2;Kaplan;Ovanjordsanläggning;13;660;374;;Indalsälven;Stugun;Ragunda;Jämtlands;63.22257;15.32281
Bjurfors Nedre;348000;78000;3;Kaplan;Ovanjordsanläggning;20;450;232;;Umeälven;Bjurfors;Vindelns;Västerbottens;64.10308;19.56946
Dönje;340000;72000;3;Kaplan;Underjordsanläggning;33.4;240;180;;Ljusnan;Bollnäs;Bollnäs;Gävleborgs;61.39656;16.40417
Olden;340000;116000;2;Francis;Underjordsanläggning;261;65;20.3;178;Långan;Olden;Krokoms;Jämtlands;63.74985;13.54035
Hällby;340000;84000;1;Kaplan;Ovanjordsanläggning;29;325;169;;Ångermanälven;Gulsele;Sollefteå;Västernorrlands;63.88423;17.19474
Laforsen;330000;57000;3;2 Francis, 1 Kaplan;Ovanjordsanläggning;35;190;149;;Ljusnan;Laforsen;Ljusdals;Gävleborgs;61.94384;15.49787
Edsele;328000;60000;2;Kaplan;Underjordsanläggning;28;240;157;;Faxälven;Edsele;Sollefteå;Västernorrlands;63.40456;16.55755
Gulsele;327987;66200;3;Kaplan;Underjordsanläggning;29;275;172;;Ångermanälven;Gulsele;Sollefteå;Västernorrlands;63.81490;17.12370
Edensforsen;321557;71350;2;Kaplan;Underjordsanläggning;28;280;175;;Ångermanälven;Junsele;Sollefteå;Västernorrlands;63.68359;17.00826
Hissmofors V/VI;320000;68000;3;Kaplan;Ovanjordsanläggning;18;440;237;1254;Indalsälven;Hissmofors;Krokoms;Jämtlands;63.33212;14.46795
Krångfors;320000;65000;3;2 Francis, 1 Kaplan;Ovanjordsanläggning;29.9;240;;;Skellefteälven;Boliden;Skellefteå;Västerbottens;64.75505;20.48948
Degerforsen;295000;63000;2;Kaplan;Ovanjordsanläggning;24;300;174;;Ångermanälven;Junsele;Sollefteå;Västernorrlands;63.74223;17.02633
Sollefteå;295000;62000;3;Kaplan;Ovanjordsanläggning;9.2;790;490;;Ångermanälven;Sollefteå;Sollefteå;Västernorrlands;63.17148;17.26396
Båtfors;294194;72900;3;Kaplan;Ovanjordsanläggning;16.9;326;;;Skellefteälven;Boliden;Skellefteå;Västerbottens;64.83197;20.22507
Gardikfors;287000;60000;1;Kaplan;Underjordsanläggning;43;170;121;871;Umeälven;Tärnaby;Storumans;Västerbottens;65.47697;15.85652
Ajaure;280000;75000;1;Diagonalturbin/deriazturbin;Underjordsanläggning;55;170;95;209;Umeälven;Tärnaby;Storuman;Västerbottens;65.50835;15.62386
Kattstrupeforsen;280000;56000;3;Kaplan;Ovanjordsanläggning;18;420;238;;Indalsälven;Krokom;Krokoms;Jämtlands;63.32658;14.58160
Norränge;280000;50000;2;Kaplan;Underjordsanläggning;21.5;240;177;40;Ljusnan;Arbrå;Bollnäs;Gävleborgs;61.47744;16.38864
